,homepage_url,funding_total_usd,country_code,region,funding_rounds,founded_at,founded_quarter,first_funding_at,last_funding_at,label,industry
0,1,1750000.0,USA,New York City,1,2012-06-01,2,2012-06-30,2012-06-30,3,Social Media
2,1,40000.0,EST,Tallinn,1,2012-10-26,4,2012-08-09,2012-08-09,1,Education
3,1,1500000.0,GBR,London,1,2011-04-01,2,2011-04-01,2011-04-01,4,Music
4,0,60000.0,USA,Dallas,2,2014-01-01,1,2014-08-17,2014-09-26,1,Games
10,1,40000.0,CHL,Santiago,1,2012-01-01,1,2013-02-18,2013-02-18,1,ECommerce
15,1,4400000.0,GBR,London,2,2013-01-01,1,2013-01-01,2014-10-09,5,Education
16,1,2050000.0,USA,Baltimore,4,2001-01-01,1,2009-06-18,2011-12-28,4,ECommerce
17,1,40000.0,USA,Portland Oregon,1,2008-01-01,1,2011-08-23,2011-08-23,1,Search
20,1,2535000.0,USA,SF Bay Area,2,2010-07-01,3,2010-01-01,2011-02-16,3,Curated Web
21,1,4962651.0,USA,Seattle,6,2008-01-01,1,2009-10-14,2014-09-19,5,Curated Web
22,1,4059079.0,FRA,Paris,4,2010-11-20,4,2012-12-15,2013-11-13,5,0_other_cat
23,1,10000000.0,CHN,Beijing,3,2009-01-01,1,2011-01-01,2014-07-31,5,Games
26,1,420000.0,USA,Madison,1,2014-07-04,3,2014-11-26,2014-11-26,2,0_other_cat
27,1,1250000.0,USA,SF Bay Area,2,2011-09-16,3,2011-11-02,2011-11-30,3,Analytics
28,1,35000000.0,USA,New York City,1,2000-01-01,1,2010-03-08,2010-03-08,5,Software
30,1,50000.0,USA,Cleveland,1,2009-04-01,2,2009-04-01,2009-04-01,1,Curated Web
32,1,100000.0,AUS,Sydney,1,2009-07-01,3,2010-07-01,2010-07-01,2,Software
34,1,3000000.0,USA,SF Bay Area,1,2012-01-01,1,2012-11-07,2012-11-07,4,Biotechnology
35,1,77500.0,USA,Boston,1,2010-01-01,1,2011-10-12,2011-10-12,1,Software
37,1,20000000.0,CHN,Shanghai,1,2011-10-01,4,2014-04-28,2014-04-28,5,0_other_cat
43,1,270000.0,AUS,Melbourne,2,2012-02-01,1,2012-05-01,2012-11-13,2,Music
44,1,794000.0,USA,Providence,6,2011-10-07,4,2012-02-06,2014-01-01,3,Software
47,1,378812.0,GBR,London,1,2013-01-01,1,2014-03-18,2014-03-18,2,Software
48,1,130636.0,FRA,Paris,1,2008-01-01,1,2012-03-15,2012-03-15,2,Unknown
49,1,619494.0,NLD,NLD  Other,1,2010-12-10,4,2012-06-01,2012-06-01,3,Software
53,1,700000.0,SWE,Stockholm,1,2010-01-01,1,2012-06-15,2012-06-15,3,Mobile
54,1,5500000.0,USA,SF Bay Area,2,2010-01-11,1,2009-07-01,2011-04-28,5,Advertising
55,1,500000.0,USA,Los Angeles,1,2010-01-01,1,2010-05-05,2010-05-05,3,Video
57,1,3400000.0,USA,SF Bay Area,3,2011-05-01,2,2012-01-01,2014-10-02,4,Software
59,0,199957.0,USA,Seattle,1,2006-01-01,1,2009-06-11,2009-06-11,2,Software
60,1,50000.0,USA,Orlando,1,2009-05-15,2,2009-06-01,2009-06-01,1,Games
65,1,9478511.0,CHN,Beijing,3,2005-01-01,1,2006-01-01,2013-07-01,5,Finance
68,1,40000.0,DNK,Copenhagen,1,2009-01-19,1,2008-04-04,2008-04-04,1,Mobile
74,1,50000.0,USA,Orange County California,1,2008-06-30,2,2008-06-30,2008-06-30,1,ECommerce
76,1,1450000.0,USA,Seattle,1,2010-01-01,1,2013-04-22,2013-04-22,4,Software
80,1,30000000.0,USA,SF Bay Area,1,2002-01-01,1,2013-03-21,2013-03-21,5,Health and Wellness
81,1,500000.0,USA,Manchester New Hampshire,1,2011-01-01,1,2013-08-05,2013-08-05,3,Social Media
86,1,156000.0,DEU,Berlin,2,2013-01-25,1,2013-08-05,2013-09-02,2,Mobile
87,1,30000.0,USA,Houston,1,2011-10-01,4,2011-12-20,2011-12-20,1,0_other_cat
91,1,750000.0,USA,Albany New York,1,2009-08-01,3,2012-10-01,2012-10-01,3,ECommerce
93,1,1500000.0,USA,SF Bay Area,2,2011-12-01,4,2013-07-02,2013-12-01,4,Mobile
94,1,1660000.0,FRA,Paris,1,2000-10-01,4,2008-06-19,2008-06-19,4,Games
96,1,204189.0,BEL,BEL  Other,1,2010-01-01,1,2014-06-25,2014-06-25,2,Unknown
97,1,150000.0,USA,Washington DC,1,2000-05-01,2,2012-09-25,2012-09-25,2,Biotechnology
98,0,41000000.0,USA,Atlanta,5,2008-01-01,1,2010-08-05,2013-07-19,5,0_other_cat
99,1,29750000.0,IRL,IRL  Other,1,2006-09-01,3,2008-07-04,2008-07-04,5,Mobile
100,1,1236454.0,ITA,Roncade,3,2012-01-01,1,2012-11-15,2014-06-01,3,Curated Web
101,1,2800000.0,USA,New York City,2,2007-09-01,3,2009-10-01,2010-08-01,4,ECommerce
102,1,1464128.0,CHN,Beijing,1,2004-01-01,1,2010-01-22,2010-01-22,4,0_other_cat
103,1,6369507.0,IND,New Delhi,1,2012-06-01,2,2012-11-15,2012-11-15,5,ECommerce
104,0,5050000.0,USA,SF Bay Area,1,2013-01-01,1,2013-11-17,2013-11-17,5,Mobile
109,1,250000.0,ISR,Tel Aviv,1,2010-01-01,1,2013-10-15,2013-10-15,2,Apps
110,1,1610541.0,CHN,Shanghai,2,2005-09-01,3,2010-05-01,2010-10-01,4,Software
111,1,615000.0,SGP,Singapore,1,2009-02-01,1,2011-01-11,2011-01-11,3,Mobile
113,1,50000.0,CAN,Toronto,1,2011-06-01,2,2011-08-15,2011-08-15,1,Software
119,0,500000.0,USA,Los Angeles,1,2007-01-01,1,2009-07-23,2009-07-23,3,Unknown
120,1,400000.0,USA,Chicago,1,2007-08-01,3,2014-05-01,2014-05-01,2,0_other_cat
122,1,16000000.0,USA,Salisbury,1,2010-01-01,1,2010-08-16,2010-08-16,5,Clean Technology
123,1,50000.0,USA,Rochester New York,1,2010-01-01,1,2011-05-24,2011-05-24,1,Software
126,1,4000000.0,IND,Bangalore,1,2001-01-01,1,2007-11-06,2007-11-06,5,Education
127,1,200000.0,USA,Indianapolis,1,2012-01-01,1,2012-09-01,2012-09-01,2,Software
129,1,2000000.0,CHN,Beijing,1,2004-01-01,1,2004-12-01,2004-12-01,4,Software
131,1,118000.0,USA,Denver,1,2012-07-25,3,2012-05-17,2012-05-17,1,ECommerce
133,1,5844811.0,USA,SF Bay Area,1,2008-01-01,1,2013-10-28,2013-10-28,5,Software
136,1,1000000.0,ISR,Tel Aviv,1,2009-01-01,1,2013-11-01,2013-11-01,3,Unknown
137,1,3000000.0,THA,Bangkok,3,2003-01-01,1,2011-01-01,2014-06-03,4,Software
138,1,7000000.0,RUS,Moscow,2,2012-04-12,2,2012-09-01,2014-03-31,5,Mobile
139,0,6785876.0,CAN,Toronto,1,2008-01-01,1,2010-08-25,2010-08-25,5,Software
142,1,383000.0,AUS,Brisbane,2,2010-07-01,3,2010-04-01,2012-10-10,2,Software
146,1,250000.0,USA,SF Bay Area,1,2011-12-01,4,2013-11-10,2013-11-10,2,Software
148,1,275000.0,USA,Dallas,1,2008-01-01,1,2010-04-09,2010-04-09,2,Software
149,1,33457.0,FRA,Paris,1,2010-01-01,1,2010-07-01,2010-07-01,1,Unknown
150,1,966728.0,BEL,Brussels,2,2011-05-01,2,2011-08-08,2012-11-09,3,Curated Web
152,1,37644420.0,USA,Seattle,4,2010-01-01,1,2011-12-06,2014-10-14,5,Enterprise Software
153,1,20000.0,USA,SF Bay Area,1,2004-01-01,1,2013-03-31,2013-03-31,1,Unknown
154,1,58000.0,USA,VT  Other,1,2011-12-26,4,2012-04-12,2012-04-12,1,Social Network Media
155,1,6000.0,USA,Sacramento,1,2013-09-13,3,2014-09-13,2014-09-13,1,Advertising
159,1,300000.0,AUS,Sydney,2,2004-05-01,2,2007-08-01,2008-06-01,2,Social Media
161,1,80000.0,CAN,Vancouver,1,2012-01-25,1,2011-06-01,2011-06-01,1,ECommerce
167,1,25000.0,USA,Newark,1,2013-04-01,2,2013-05-20,2013-05-20,1,Apps
169,1,500000.0,USA,Chicago,1,2013-01-23,1,2014-09-16,2014-09-16,3,Finance
170,1,2274716.0,GBR,London,1,2012-07-01,3,2014-03-01,2014-03-01,4,ECommerce
172,1,25654560.0,USA,New York City,5,2007-09-01,3,2009-02-06,2012-07-19,5,Social Network Media
175,1,5000000.0,CHN,Shanghai,1,2000-01-01,1,2009-06-01,2009-06-01,5,Biotechnology
176,1,1000000.0,USA,Atlanta,2,2005-01-01,1,2011-11-01,2013-01-01,3,Biotechnology
177,1,7650000.0,CAN,Toronto,1,2008-01-01,1,2013-01-15,2013-01-15,5,Software
178,1,1543920.0,FRA,Paris,1,2010-01-01,1,2013-09-30,2013-09-30,4,Education
179,1,4100000.0,CAN,Ottawa,2,2007-07-01,3,2012-04-20,2013-08-18,5,Software
182,1,16000000.0,USA,SF Bay Area,1,2012-01-01,1,2014-09-10,2014-09-10,5,Internet
186,1,73047.0,ESP,ESP  Other,2,2011-12-12,4,2011-12-01,2012-07-01,1,Fashion
188,1,6700000.0,ISR,Tel Aviv,2,2008-01-01,1,2013-01-28,2014-09-29,5,Apps
191,1,25000.0,USA,SF Bay Area,1,2014-01-01,1,2014-03-15,2014-03-15,1,0_other_cat
192,1,1629549.0,CHN,CHN  Other,1,2013-01-01,1,2014-03-01,2014-03-01,4,Mobile
193,1,1600000.0,USA,Boston,1,2010-01-01,1,2012-01-13,2012-01-13,4,Mobile
195,1,1719583.0,CHE,Geneva,2,2011-08-01,3,2011-08-01,2014-07-10,4,Networking
196,1,75000.0,BRA,Curitiba,1,2013-01-10,1,2013-01-10,2013-01-10,1,Software
197,1,133620.0,ITA,Bolzano,1,2008-01-01,1,2011-01-01,2011-01-01,2,Biotechnology
198,1,500000.0,USA,Boston,2,2010-06-23,2,2010-06-23,2011-06-01,1,Software
199,1,5740000.0,USA,Washington DC,2,2005-01-01,1,2013-01-14,2014-03-04,5,Software
200,1,1465000.0,USA,Detroit,1,2010-01-01,1,2013-02-05,2013-02-05,4,Biotechnology
201,1,28000.0,USA,SF Bay Area,1,2013-03-01,1,2013-11-10,2013-11-10,1,Enterprise Software
202,1,250000.0,USA,Boston,1,2013-01-01,1,2014-06-02,2014-06-02,2,Unknown
205,1,503000.0,USA,Orlando,2,2011-01-01,1,2011-06-22,2013-03-21,1,Games
206,1,4500000.0,NLD,Amsterdam,2,2013-04-01,2,2013-08-27,2014-09-02,5,0_other_cat
207,1,1200000.0,USA,Cincinnati,2,2011-01-01,1,2012-03-01,2013-03-01,3,Curated Web
210,1,35000000.0,USA,San Diego,3,2009-01-01,1,2012-11-05,2014-09-16,5,0_other_cat
211,1,909940.0,USA,Minneapolis,3,2010-01-01,1,2011-01-21,2013-07-25,3,Software
213,0,150000.0,USA,Detroit,1,2009-01-01,1,2012-12-03,2012-12-03,2,Hardware  Software
214,1,750000.0,USA,WA  Other,1,2012-01-01,1,2014-10-14,2014-10-14,3,Unknown
215,1,400000.0,USA,SF Bay Area,1,2009-02-06,1,2014-10-12,2014-10-12,2,ECommerce
220,1,2670000.0,RUS,RUS  Other,2,2011-04-01,2,2011-01-01,2012-10-01,4,Software
226,1,2065000.0,IND,Bangalore,2,2006-06-01,2,2007-12-01,2010-08-01,4,Mobile
228,1,750000.0,USA,New York City,1,2009-11-01,4,2013-08-16,2013-08-16,3,Health and Wellness
230,1,1700000.0,HUN,Budapest,2,2009-09-15,3,2011-01-01,2012-07-01,4,Music
231,0,20000000.0,USA,Seattle,1,2003-01-01,1,2006-04-05,2006-04-05,5,Music
232,1,746185.0,CHN,Beijing,2,2005-07-01,3,2006-03-01,2007-02-01,3,Mobile
233,1,13708150.0,CHN,Guangdong,3,2006-11-01,4,2007-08-20,2010-03-01,1,0_other_cat
234,1,4000000.0,USA,SF Bay Area,1,2005-01-01,1,2007-07-01,2007-07-01,5,0_other_cat
241,1,25920000.0,USA,Washington DC,4,2006-08-01,3,2010-01-29,2013-06-06,5,Software
242,1,1011601.0,USA,Boston,3,2007-01-01,1,2010-02-08,2011-10-21,3,Software
246,1,1500000.0,CHN,CHN  Other,2,2010-05-23,2,2011-02-10,2012-05-01,4,Curated Web
248,1,1394250.0,FRA,Nice,1,2005-01-01,1,2008-11-14,2008-11-14,4,Mobile
249,1,5000000.0,ESP,Barcelona,2,2007-12-01,4,2010-04-20,2013-04-24,5,Software
250,1,390000.0,USA,SF Bay Area,3,2011-01-01,1,2011-08-31,2013-07-16,2,Biotechnology
251,1,2000000.0,USA,Austin,1,2008-01-01,1,2011-08-19,2011-08-19,4,Software
254,1,15152514.0,GBR,Norfolk,1,2007-01-01,1,2014-03-03,2014-03-03,5,Clean Technology
255,1,1000000.0,USA,SF Bay Area,1,2013-08-15,3,2014-09-01,2014-09-01,3,Software
257,1,272000.0,IRL,IRL  Other,1,2003-01-01,1,2007-05-01,2007-05-01,1,Software
258,1,25500000.0,IRL,Dublin,1,2004-01-01,1,2013-03-01,2013-03-01,5,0_other_cat
260,1,3393925.0,USA,Columbus Ohio,2,2007-11-01,4,2008-02-20,2010-05-26,4,Security
263,1,1000.0,BWA,BWA  Other,1,2013-07-12,3,2014-05-14,2014-05-14,1,Networking
264,1,2234979.0,USA,WA  Other,5,2009-04-01,2,2011-07-01,2013-07-26,4,ECommerce
267,1,81000.0,USA,San Diego,1,2014-01-01,1,2014-10-22,2014-10-22,1,0_other_cat
268,1,1050000.0,USA,Atlanta,3,2008-01-23,1,2008-04-01,2010-06-01,3,Networking
269,1,750000.0,USA,Baltimore,1,2010-01-01,1,2011-07-11,2011-07-11,3,0_other_cat
270,1,38064570.0,USA,SF Bay Area,4,2004-01-01,1,2006-05-08,2012-04-11,5,Security
271,1,800000.0,USA,SF Bay Area,2,2013-01-01,1,2013-02-21,2014-05-16,3,Enterprise Software
272,0,1000000.0,USA,Atlanta,1,2004-01-01,1,2010-06-15,2010-06-15,3,Software
273,1,17400000.0,USA,SF Bay Area,4,2011-01-01,1,2011-09-01,2013-01-31,5,0_other_cat
278,1,37956999.0,USA,Boston,3,2011-01-01,1,2012-02-14,2013-04-12,5,Biotechnology
284,1,20900.0,USA,Myrtle Beach,1,2005-01-01,1,2013-10-07,2013-10-07,1,Clean Technology
286,1,3378975.0,USA,Washington DC,1,2005-01-01,1,2011-12-12,2011-12-12,4,Mobile
288,1,9416354.0,USA,SF Bay Area,6,2006-01-01,1,2006-08-01,2010-02-03,4,Software
294,1,50000.0,USA,SF Bay Area,1,2012-01-01,1,2013-08-26,2013-08-26,1,Apps
295,0,7000000.0,USA,Boston,1,2011-01-01,1,2011-12-21,2011-12-21,5,Biotechnology
296,1,1121081.0,GBR,Sunderland Bridge,4,2010-03-10,1,2011-03-10,2013-08-15,3,Software
298,1,762500.0,BRA,Sao Paulo,1,2013-08-01,3,2013-08-29,2013-08-29,3,0_other_cat
299,1,385980.0,DEU,Berlin,1,2012-01-01,1,2013-07-23,2013-07-23,2,Curated Web
300,1,250000.0,USA,Raleigh,1,2004-01-01,1,2010-07-14,2010-07-14,2,Software
303,1,440000.0,USA,New York City,2,2012-01-01,1,2012-03-29,2013-01-08,2,Software
305,0,180000.0,USA,Ft Lauderdale,1,2013-07-23,3,2014-02-20,2014-02-20,2,0_other_cat
310,1,12900000.0,USA,SF Bay Area,6,2010-01-01,1,2009-12-15,2013-03-12,5,Social Media
312,1,9325000.0,CAN,Toronto,2,2009-10-01,4,2011-06-03,2013-08-07,5,Apps
316,1,27000000.0,CHN,Shanghai,3,2005-01-01,1,2006-05-01,2007-07-01,5,Software
317,1,2928257.0,CHN,CHN  Other,1,2009-01-01,1,2010-05-01,2010-05-01,4,0_other_cat
318,1,9300000.0,CHN,CHN  Other,3,2002-11-01,4,2004-03-01,2007-12-01,5,ECommerce
319,1,389673.0,CHN,Shenzhen,1,2012-01-01,1,2013-08-01,2013-08-01,2,Health Care
323,1,20000000.0,CHN,Shanghai,2,2006-01-01,1,2011-06-22,2014-05-28,5,0_other_cat
327,1,1500000.0,CHN,Beijing,2,2007-08-01,3,2008-04-01,2010-08-01,4,Games
333,1,30000000.0,CHN,Guangzhou,2,2005-04-01,2,2007-06-01,2007-12-01,5,0_other_cat
336,1,5100000.0,GBR,London,1,2011-01-01,1,2014-06-12,2014-06-12,5,Software
337,1,6100000.0,USA,Seattle,2,2008-01-01,1,2013-11-12,2014-11-17,5,Mobile
342,1,12800000.0,USA,New York City,3,2007-01-01,1,2007-04-01,2009-07-23,5,Education
343,1,15873.0,GBR,London,1,2011-03-19,1,2012-03-19,2012-03-19,1,Curated Web
345,1,50000.0,USA,Denver,1,2006-01-01,1,2013-05-14,2013-05-14,1,Software
346,1,3987693.0,KOR,Seoul,2,2013-06-18,2,2010-09-01,2013-09-03,3,Games
348,1,250000.0,USA,New York City,1,2012-07-04,3,2012-09-02,2012-09-02,2,Social Media
349,1,7000000.0,USA,SF Bay Area,1,2008-01-01,1,2008-06-13,2008-06-13,5,Mobile
350,1,3000000.0,USA,Sacramento,1,2009-01-01,1,2014-07-16,2014-07-16,4,Mobile
351,1,17129760.0,USA,Seattle,4,2009-01-01,1,2009-06-17,2010-11-10,5,Internet
352,1,1300000.0,GBR,Edinburgh,3,2009-06-01,2,2009-06-29,2011-01-19,3,Software
353,1,100000.0,USA,SF Bay Area,1,2010-10-01,4,2010-10-01,2010-10-01,2,Curated Web
354,1,3050000.0,USA,Chicago,3,2013-01-01,1,2014-06-20,2014-10-20,4,Software
357,1,2000000.0,USA,SF Bay Area,1,2009-01-01,1,2011-08-23,2011-08-23,4,0_other_cat
358,1,25250000.0,USA,Raleigh,5,2008-01-01,1,2010-08-23,2014-09-10,5,Enterprise Software
359,1,100000.0,USA,Austin,1,2009-01-01,1,2014-10-29,2014-10-29,2,Unknown
363,1,12000000.0,USA,SF Bay Area,2,2013-01-01,1,2013-04-18,2014-05-19,5,0_other_cat
364,1,4000000.0,USA,SF Bay Area,1,2013-01-01,1,2014-09-12,2014-09-12,5,Unknown
366,1,6700000.0,USA,Raleigh,2,2004-01-01,1,2005-11-11,2007-01-31,4,Software
368,1,52588928.0,HKG,Hong Kong,2,2008-06-01,2,2010-01-21,2011-08-04,5,Games
369,1,23857750.0,DEU,Berlin,5,2010-09-01,3,2010-12-21,2013-11-12,5,Software
370,1,6528902.0,USA,Austin,3,2006-01-01,1,2009-02-09,2012-07-13,1,Software
376,1,2450000.0,USA,Ft Lauderdale,5,2011-03-03,1,2012-03-20,2014-06-08,4,Analytics
377,1,190035.0,FIN,Helsinki,1,2012-01-01,1,2014-10-23,2014-10-23,2,Analytics
380,1,650000.0,NZL,Wellington,1,2010-05-25,2,2011-03-01,2011-03-01,1,Curated Web
381,0,2875000.0,USA,SF Bay Area,1,2011-01-01,1,2011-10-03,2011-10-03,4,Unknown
382,1,1500000.0,USA,Houston,1,2012-04-01,2,2014-07-10,2014-07-10,4,0_other_cat
383,1,11110000.0,USA,Boston,5,2009-01-01,1,2011-12-13,2014-11-18,5,Clean Technology
384,1,47566.0,GBR,Surbiton,1,2011-01-01,1,2012-04-07,2012-04-07,1,Social Media
385,1,20100000.0,GBR,London,4,2004-01-01,1,2005-09-01,2013-11-25,5,Music
387,1,1136548.0,CHN,Beijing,1,2003-01-01,1,2010-05-01,2010-05-01,3,Games
388,0,460775.0,USA,Seattle,2,2013-01-01,1,2013-10-28,2014-07-21,2,Software
389,1,3989751.0,CHN,Shenzhen,3,2008-01-01,1,2009-05-01,2011-01-01,5,Games
390,1,9850000.0,USA,Akron  Canton,4,2006-01-01,1,2011-01-01,2013-10-15,5,0_other_cat
391,1,600000.0,USA,Milwaukee,2,2009-04-01,2,2010-01-01,2013-12-19,3,0_other_cat
392,1,269260.0,NLD,Amsterdam,2,2013-03-01,1,2013-04-02,2013-06-25,2,0_other_cat
393,1,18500000.0,HKG,Hong Kong,3,2012-05-21,2,2012-01-04,2014-08-02,5,0_other_cat
396,1,34000000.0,CHN,Beijing,3,2004-06-23,2,2008-01-01,2011-09-21,5,Software
397,1,100000.0,USA,Washington DC,1,2012-01-01,1,2013-02-19,2013-02-19,2,ECommerce
400,0,5100000.0,USA,Anaheim,1,2011-01-01,1,2011-11-18,2011-11-18,5,Health and Wellness
401,1,27000000.0,USA,New York City,2,2012-01-01,1,2013-03-15,2013-05-30,5,0_other_cat
406,1,140000.0,GBR,London,2,2013-02-01,1,2014-02-01,2014-07-01,2,Advertising
413,1,79501.0,SGP,Singapore,2,2014-02-02,1,2014-03-01,2014-09-01,1,0_other_cat
415,1,15590000.0,USA,Minneapolis,3,2008-11-01,4,2009-11-16,2011-03-21,5,ECommerce
416,1,2779980.0,USA,SF Bay Area,2,2008-08-08,3,2012-10-26,2014-08-28,4,Music
417,1,24600000.0,CHN,Shanghai,1,2011-01-01,1,2013-11-13,2013-11-13,5,Travel
418,1,150000.0,SGP,Singapore,1,2011-06-01,2,2013-12-01,2013-12-01,2,Mobile
420,1,4500000.0,USA,SF Bay Area,2,2013-01-01,1,2013-07-11,2013-09-03,5,0_other_cat
421,1,17700000.0,USA,Boston,3,2012-01-01,1,2012-09-05,2014-09-09,5,0_other_cat
422,1,23800000.0,GBR,London,2,2011-01-01,1,2013-05-07,2014-03-26,5,0_other_cat
423,1,100000.0,ISR,Tel Aviv,1,2013-06-30,2,2013-09-01,2013-09-01,2,Apps
426,1,30000000.0,CHN,Fuzhou Shi,1,2010-09-01,3,2011-12-01,2011-12-01,5,Mobile
432,1,1000000.0,IND,New Delhi,1,2010-01-01,1,2014-10-29,2014-10-29,3,Mobile
437,1,35000000.0,USA,SF Bay Area,1,2008-02-01,1,2011-04-28,2011-04-28,5,0_other_cat
438,1,105651.0,AUS,Sydney,2,2010-01-01,1,2012-03-30,2012-06-01,2,Fashion
441,1,20000.0,IND,Vadodara,1,2012-03-20,1,2012-09-01,2012-09-01,1,ECommerce
443,1,210000.0,IND,Bangalore,3,2011-02-14,1,2010-12-01,2013-07-22,2,Software
445,1,80000.0,CHN,Beijing,2,2009-11-18,4,2009-11-18,2010-01-06,1,ECommerce
447,1,9600000.0,CHN,Shanghai,2,2005-03-01,1,2005-01-01,2008-01-01,5,ECommerce
448,1,70000.0,RUS,Perm,1,2011-05-01,2,2011-05-01,2011-05-01,1,Social Media
450,0,1432051.0,KOR,Seoul,3,2011-10-01,4,2012-02-17,2013-01-16,4,Advertising
451,1,2800000.0,HKG,Hong Kong,2,2008-01-01,1,2011-05-17,2012-07-30,4,Social Media
452,1,4100000.0,USA,Washington DC,2,2011-01-01,1,2013-09-12,2013-10-29,5,Software
453,1,900000.0,USA,Seattle,1,2013-01-01,1,2013-11-04,2013-11-04,3,Software
455,1,925000.0,USA,Seattle,2,2010-06-01,2,2013-05-30,2013-10-03,3,SaaS
456,1,435400.0,USA,Austin,1,2002-01-01,1,2011-07-25,2011-07-25,2,Software
459,1,700000.0,USA,DE  Other,2,2014-09-04,3,2014-03-01,2014-10-14,3,Unknown
460,1,3500000.0,USA,Albuquerque,1,2011-05-01,2,2012-07-01,2012-07-01,4,Mobile
461,1,450000.0,ISR,ISR  Other,1,2013-01-01,1,2014-09-07,2014-09-07,2,Security
468,1,500000.0,USA,Atlanta,1,2008-01-01,1,2011-11-01,2011-11-01,3,Health and Wellness
471,1,7550000.0,USA,SF Bay Area,2,2005-06-01,2,2005-07-01,2007-03-01,5,Mobile
473,1,6410000.0,IND,Mumbai,1,2000-03-02,1,2008-09-09,2008-09-09,5,Finance
493,1,20000.0,USA,Atlanta,1,2012-12-02,4,2014-10-14,2014-10-14,1,Mobile
499,1,50000000.0,CHN,Shenzhen,2,2000-01-01,1,2004-10-01,2005-12-08,5,Music
503,1,350000.0,USA,Ft Lauderdale,1,2000-05-31,2,2013-12-01,2013-12-01,2,Social Network Media
504,1,500000.0,USA,Indianapolis,1,2008-01-01,1,2011-01-03,2011-01-03,1,Biotechnology
505,1,6000000.0,USA,SF Bay Area,2,2007-07-01,3,2007-01-01,2008-10-01,4,Search
508,1,20000000.0,USA,Chicago,1,2006-01-01,1,2014-06-04,2014-06-04,5,0_other_cat
510,1,151022.0,BRA,BRA  Other,2,2010-06-01,2,2011-12-29,2012-05-01,2,Social Media
511,1,4260000.0,FIN,Helsinki,1,2009-01-01,1,2009-06-03,2009-06-03,5,Mobile
514,0,4845819.0,USA,Bangor,1,2010-01-01,1,2009-05-05,2009-05-05,5,Unknown
516,1,1412834.0,FRA,Paris,1,2011-01-01,1,2014-09-23,2014-09-23,4,Analytics
518,1,3356695.0,ESP,Barcelona,1,2007-01-01,1,2014-07-29,2014-07-29,4,Education
520,1,500000.0,USA,Seattle,1,2000-04-02,2,2010-11-11,2010-11-11,3,Analytics
522,1,3500000.0,USA,New York City,1,2013-01-01,1,2014-10-29,2014-10-29,4,Software
524,1,4211031.0,USA,Miami,6,2006-01-01,1,2012-05-10,2014-10-08,5,Clean Technology
525,1,825000.0,USA,SF Bay Area,1,2013-01-01,1,2013-12-25,2013-12-25,3,Software
527,1,400988.0,CAN,Vancouver,3,2011-01-01,1,2010-11-03,2014-04-07,2,Biotechnology
528,1,1770000.0,FRA,Neuillysurseine,1,2001-01-01,1,2005-11-08,2005-11-08,3,Software
532,0,600000.0,USA,Austin,1,2006-01-01,1,2009-06-17,2009-06-17,3,Unknown
534,1,875000.0,USA,New York City,5,2012-08-01,3,2013-07-30,2014-07-11,3,Fashion
536,1,375000.0,RUS,Moscow,1,2004-01-01,1,2012-09-26,2012-09-26,2,0_other_cat
537,1,25000.0,IND,Chandigarh,1,2007-12-05,4,2007-01-05,2007-01-05,1,Advertising
539,1,147000.0,CRI,Costa Rica,1,2010-08-01,3,2011-01-01,2011-01-01,2,Social Media
540,1,2000000.0,CAN,Toronto,1,2010-01-01,1,2014-04-28,2014-04-28,4,Biotechnology
541,1,805908.0,GBR,London,1,2001-01-01,1,2007-09-21,2007-09-21,3,Biotechnology
543,1,19148000.0,USA,Chicago,5,2009-09-01,3,2010-06-29,2014-02-07,5,ECommerce
547,1,4350000.0,USA,Cleveland,2,2013-01-01,1,2013-12-16,2014-12-01,5,Biotechnology
549,1,39610000.0,USA,SF Bay Area,3,2000-06-01,2,2012-06-19,2014-08-27,5,Biotechnology
550,1,2250180.0,USA,Newark,1,2011-01-01,1,2011-11-18,2011-11-18,4,Biotechnology
551,1,60000.0,USA,New York City,1,2010-01-15,1,2014-02-17,2014-02-17,1,Fashion
552,1,1500000.0,USA,Phoenix,1,2009-01-01,1,2012-02-20,2012-02-20,4,Health Care
554,1,9000000.0,USA,New York City,2,2008-01-01,1,2013-05-14,2014-03-18,5,Health and Wellness
556,1,6467283.0,USA,Boston,1,2008-01-01,1,2011-07-12,2011-07-12,5,Curated Web
557,1,8140565.0,GBR,London,2,2008-01-01,1,2012-03-26,2014-10-24,5,Health Care
559,1,3986362.0,CHE,Lausanne,1,2010-01-01,1,2014-10-14,2014-10-14,5,Biotechnology
560,1,25560400.0,GBR,London,8,2006-01-01,1,2008-01-01,2013-04-10,5,Cloud Computing
561,1,14130737.0,USA,SF Bay Area,4,2010-01-01,1,2010-12-09,2014-03-12,5,Software
565,0,150000.0,USA,Atlanta,1,2009-09-09,3,2013-11-11,2013-11-11,2,0_other_cat
566,1,25930577.0,USA,Kalamazoo,5,2011-01-01,1,2012-01-04,2014-02-04,5,Biotechnology
569,1,12005448.0,USA,Denver,5,2005-01-01,1,2009-08-17,2012-02-01,5,Hardware  Software
570,1,1273000.0,USA,SF Bay Area,1,2007-01-01,1,2011-06-29,2011-06-29,3,Software
572,1,3000000.0,CHN,Beijing,1,2008-08-01,3,2014-02-01,2014-02-01,4,Mobile
