,homepage_url,funding_total_usd,country_code,region,funding_rounds,founded_at,founded_quarter,first_funding_at,last_funding_at,label,industry
48409,1,30097.0,JPN,Fukuoka,1,2013-07-18,3,2013-07-18,2013-07-18,1,Mobile
48410,1,700000.0,USA,Hartford,2,2010-01-01,1,2010-03-24,2010-12-15,1,Curated Web
48413,1,1000000.0,PRT,PRT  Other,1,2011-07-01,3,2012-09-10,2012-09-10,3,ECommerce
48421,1,12000000.0,USA,SC  Other,4,2006-05-10,2,2007-01-19,2010-10-07,5,Mobile
48422,1,2300000.0,USA,San Diego,3,2012-01-01,1,2012-06-01,2014-05-21,4,Music
48424,1,3500000.0,USA,Chicago,1,2011-01-01,1,2011-10-15,2011-10-15,4,Social Network Media
48426,1,20007587.0,USA,Newark,2,2011-01-01,1,2013-04-09,2014-06-23,5,Games
48428,1,200000.0,USA,Washington DC,1,2013-06-01,2,2014-06-25,2014-06-25,2,Apps
48429,1,1487500.0,USA,New York City,3,2013-01-01,1,2013-12-20,2014-06-09,4,Social Media
48432,1,24270000.0,USA,Seattle,10,2007-07-01,3,2007-07-01,2013-11-13,5,Travel
48433,1,200000.0,USA,Denver,1,2010-09-01,3,2010-09-01,2010-09-01,2,Curated Web
48434,1,1600000.0,USA,SF Bay Area,1,2013-01-01,1,2013-07-30,2013-07-30,4,Enterprise Software
48437,1,1500000.0,SGP,Singapore,1,2008-01-01,1,2008-01-01,2008-01-01,4,Curated Web
48440,1,7250000.0,USA,Atlantic City,4,2007-08-22,3,2010-12-17,2014-09-16,5,Video
48441,1,435000.0,USA,SF Bay Area,4,2012-04-04,2,2009-09-20,2012-10-10,1,Networking
48442,1,144814.0,FRA,Paris,1,2011-01-01,1,2011-07-01,2011-07-01,2,Unknown
48444,1,1635285.0,AUT,Vienna,3,2007-03-01,1,2007-12-01,2010-06-01,4,Mobile
48445,1,690000.0,NOR,NOR  Other,3,2008-11-08,4,2008-05-14,2010-06-24,3,Software
48448,1,2500000.0,AUS,Sydney,2,2012-03-01,1,2012-12-01,2013-06-01,4,Software
48449,1,1602720.0,FRA,Paris,1,2009-01-01,1,2012-04-01,2012-04-01,4,Search
48450,1,330000.0,USA,SF Bay Area,2,2010-01-01,1,2010-08-01,2011-05-13,1,Social Network Media
48451,1,45000000.0,IND,New Delhi,4,2006-08-01,3,2006-01-11,2014-04-16,5,Travel
48452,1,400000.0,USA,SF Bay Area,1,2012-05-31,2,2012-03-31,2012-03-31,2,Finance
48458,1,4143045.0,KOR,Seoul,2,2013-02-01,1,2013-02-14,2014-08-27,5,Hardware  Software
48460,1,1750000.0,USA,Los Angeles,2,2011-08-01,3,2012-01-17,2012-07-05,4,Curated Web
48462,1,8650000.0,USA,Chicago,3,2009-01-01,1,2010-03-19,2013-05-09,5,Analytics
48464,1,374967.0,KOR,Seoul,1,2012-07-24,3,2014-02-20,2014-02-20,2,Software
48467,1,15000000.0,CHN,CHN  Other,1,2009-05-01,2,2014-03-14,2014-03-14,5,Mobile
48470,1,40180000.0,IND,New Delhi,4,2009-01-01,1,2010-01-01,2013-04-25,5,Mobile
48471,1,600000.0,CHN,Beijing,1,2008-01-01,1,2008-01-01,2008-01-01,1,Search
48472,1,1250000.0,USA,Portland Oregon,1,2007-01-01,1,2009-07-17,2009-07-17,3,Biotechnology
48473,1,2500000.0,ISR,Tel Aviv,2,2006-01-01,1,2006-03-01,2007-02-01,3,Social Media
48478,1,6300000.0,CHN,Beijing,2,2005-01-01,1,2005-08-24,2007-01-18,5,Software
48479,1,8350000.0,CHN,Beijing,3,2003-08-01,3,2004-07-01,2007-07-01,5,Finance
48482,1,900000.0,USA,Tupelo,3,2012-05-01,2,2012-06-29,2014-01-29,3,Social Media
48485,1,3000000.0,USA,Los Angeles,1,2011-10-01,4,2013-05-09,2013-05-09,4,Video
48489,1,91900.0,AUS,AUS  Other,1,2013-05-01,2,2013-06-01,2013-06-01,1,Social Network Media
48494,1,150000.0,USA,New York City,1,2010-05-01,2,2011-05-03,2011-05-03,1,Social Media
48495,1,5750000.0,USA,SF Bay Area,2,2009-10-01,4,2010-03-01,2010-11-22,1,Curated Web
48496,1,5317147.0,USA,New York City,1,2009-11-12,4,2014-06-06,2014-06-06,5,Advertising
48497,1,3216500.0,FRA,Paris,2,2006-01-01,1,2007-09-20,2014-03-18,4,ECommerce
48498,1,20000000.0,USA,Miami,2,2004-01-01,1,2010-10-27,2013-08-27,5,Finance
48499,1,817895.0,IRL,Dublin,1,2012-01-01,1,2014-06-01,2014-06-01,3,Software
48500,1,850000.0,USA,New York City,1,2012-08-01,3,2012-08-20,2012-08-20,3,ECommerce
48501,1,65850.0,NLD,The Hague,1,2007-09-01,3,2007-01-01,2007-01-01,3,Social Media
48502,1,56000000.0,USA,SF Bay Area,5,2004-07-01,3,2004-07-01,2010-01-27,5,Search
48504,1,44000000.0,TUR,Istanbul,2,2000-11-30,4,2012-09-17,2013-05-02,5,ECommerce
48507,1,14450.0,ITA,Rome,1,2011-02-15,1,2011-04-15,2011-04-15,1,Curated Web
48508,1,500000.0,IND,New Delhi,1,2010-01-01,1,2014-05-02,2014-05-02,3,0_other_cat
48509,1,34517.0,DEU,Berlin,1,2014-03-28,1,2014-03-24,2014-03-24,1,Apps
48510,1,981217.0,ESP,Madrid,1,2005-10-01,4,2013-07-16,2013-07-16,3,Software
48511,1,5500000.0,USA,SF Bay Area,2,2012-01-01,1,2013-08-27,2014-04-23,5,ECommerce
48512,1,317000.0,NLD,Amsterdam,3,2013-01-01,1,2013-10-14,2014-03-01,2,0_other_cat
48513,1,1300000.0,USA,SF Bay Area,1,2012-01-01,1,2013-05-22,2013-05-22,4,Analytics
48515,1,34000000.0,CHN,Shanghai,2,2008-11-01,4,2010-03-01,2011-05-01,5,ECommerce
48517,1,1000000.0,USA,Miami,1,2009-06-03,2,2009-06-03,2009-06-03,1,Curated Web
48519,1,19700000.0,USA,Boston,4,2010-07-01,3,2011-09-27,2013-11-15,5,Mobile
48521,1,776340.0,ESP,Barcelona,1,2012-01-01,1,2012-01-01,2012-01-01,3,Curated Web
48523,1,12000000.0,CHN,Shenzhen,1,2005-01-01,1,2008-11-19,2008-11-19,5,Search
48524,1,8000000.0,DEU,Berlin,1,2010-01-01,1,2013-12-04,2013-12-04,5,Curated Web
48525,1,4200000.0,USA,SF Bay Area,4,2012-03-01,1,2013-01-01,2014-02-12,5,Mobile
48531,1,30000000.0,USA,Napa Valley,1,2009-01-01,1,2014-08-13,2014-08-13,5,0_other_cat
48532,1,1000000.0,USA,New York City,1,2013-06-01,2,2013-10-01,2013-10-01,3,Enterprise Software
48538,1,60000.0,CHN,Nanjing,1,2011-06-18,2,2011-06-18,2011-06-18,1,Social Network Media
48540,1,350000.0,USA,SF Bay Area,1,2008-06-04,2,2009-11-12,2009-11-12,2,Video
48541,1,6000000.0,USA,SF Bay Area,1,2007-01-01,1,2008-06-04,2008-06-04,4,Software
